gender;age_category;5km_time;time
0;20;937;4278
0;20;1030;4456
0;20;1029;4483
0;20;1035;4496
0;20;1100;4626
0;20;1095;4735
0;20;1101;4834
0;20;1129;4861
0;20;1128;4869
0;20;1127;4889
0;20;1130;4890
0;20;1097;4895
0;20;1126;4904
0;20;1158;4905
0;20;1124;4938
0;20;1134;4972
0;20;1171;5047
0;20;1162;5063
0;20;1161;5091
0;20;1202;5091
0;20;1199;5093
0;20;1193;5098
0;20;1130;5115
0;20;1202;5118
0;20;1171;5130
0;20;1170;5133
0;20;1133;5142
0;20;1131;5189
0;20;1258;5205
0;20;1256;5237
0;20;1122;5240
0;20;1249;5248
0;20;1195;5251
0;20;1225;5268
0;20;1195;5273
0;20;1231;5279
0;20;1217;5305
0;20;1234;5343
0;20;1238;5354
0;20;1226;5357
0;20;1297;5358
0;20;1239;5366
0;20;1231;5375
0;20;1230;5380
0;20;1182;5390
0;20;1279;5402
0;20;1218;5403
0;20;1267;5406
0;20;1212;5414
0;20;1395;5445
0;20;1203;5450
0;20;1240;5472
0;20;1219;5490
0;20;1245;5532
0;20;1252;5535
0;20;1353;5541
0;20;1164;5543
0;20;1387;5572
0;20;1307;5599
0;20;1364;5611
0;20;1276;5619
0;20;1312;5620
0;20;1277;5624
0;20;1289;5625
0;20;1295;5626
0;20;1182;5631
0;20;1252;5635
0;20;1265;5642
0;20;1265;5653
0;20;1334;5667
0;20;1311;5668
0;20;1339;5671
0;20;1337;5688
0;20;1352;5701
0;20;1357;5717
0;20;1309;5727
0;20;1329;5729
0;20;1235;5739
0;20;1393;5748
0;20;1389;5749
0;20;1299;5751
0;20;1413;5753
0;20;1430;5770
0;20;1359;5787
0;20;1233;5805
0;20;1359;5806
0;20;1355;5810
0;20;1338;5817
0;20;1354;5821
0;20;1286;5831
0;20;1312;5836
0;20;1320;5843
0;20;1343;5847
0;20;1398;5847
0;20;1343;5847
0;20;1280;5848
0;20;1378;5850
0;20;1313;5863
0;20;1329;5866
0;20;1346;5873
0;20;1362;5874
0;20;1285;5880
0;20;1385;5880
0;20;1361;5881
0;20;1383;5888
0;20;1290;5891
0;20;1527;5892
0;20;1262;5902
0;20;1371;5903
0;20;1365;5904
0;20;1182;5905
0;20;1371;5913
0;20;1363;5919
0;20;1393;5921
0;20;1333;5923
0;20;1374;5926
0;20;1356;5934
0;20;1387;5940
0;20;1322;5943
0;20;1353;5947
0;20;1367;5950
0;20;1391;5965
0;20;1422;5967
0;20;1307;5971
0;20;1389;5976
0;20;1347;5981
0;20;1380;5984
0;20;1413;5986
0;20;1421;5988
0;20;1366;5989
0;20;1276;5989
0;20;1394;5990
0;20;1425;5996
0;20;1360;6032
0;20;1411;6034
0;20;1418;6043
0;20;1379;6046
0;20;1368;6048
0;20;1302;6072
0;20;1391;6073
0;20;1330;6074
0;20;1437;6076
0;20;1334;6080
0;20;1378;6080
0;20;1382;6083
0;20;1481;6083
0;20;1401;6089
0;20;1389;6091
0;20;1502;6091
0;20;1357;6095
0;20;1437;6100
0;20;1420;6101
0;20;1363;6106
0;20;1359;6109
0;20;1408;6109
0;20;1383;6109
0;20;1440;6115
0;20;1445;6116
0;20;1352;6119
0;20;1438;6119
0;20;1431;6121
0;20;1459;6122
0;20;1345;6127
0;20;1435;6128
0;20;1475;6132
0;20;1360;6138
0;20;1413;6141
0;20;1434;6142
0;20;1431;6142
0;20;1450;6143
0;20;1431;6144
0;20;1465;6144
0;20;1432;6145
0;20;1449;6147
0;20;1447;6148
0;20;1447;6149
0;20;1317;6149
0;20;1453;6152
0;20;1446;6157
0;20;1484;6166
0;20;1526;6173
0;20;1520;6173
0;20;1431;6173
0;20;1375;6179
0;20;1339;6187
0;20;1369;6200
0;20;1457;6202
0;20;1308;6202
0;20;1356;6204
0;20;1412;6212
0;20;1443;6214
0;20;1470;6216
0;20;1346;6217
0;20;1433;6220
0;20;1428;6224
0;20;1478;6227
0;20;1440;6227
0;20;1455;6227
0;20;1450;6229
0;20;1462;6229
